Date,A.M. read/listen/sing/pray,P.M. read/listen/sing/pray,Sit to stand 5+,Step-up R10 L5,Tandem balance 30 sec,Heel raise 10,Single leg toe tap 10,Get up from floor x2,Time outside,Biceps curl 3 lb 15,Pull Downs 10,Row 10,Wall push-up 10,Stretches standing,Weekly Proflex routine,Stretches lying down,Treadmill 2 mph 15 min,Sleep goal 6.5,Sleep score,Steps thousands,Humidifier,Bedtime review the day and pray,
2025-12-30,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5320,82000,NO,UNKNOWN,UNKNOWN,
2025-12-29,YES_MANUAL,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,UNKNOWN,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,4570,80000,6400,YES_MANUAL,YES_MANUAL,
2025-12-28,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,UNKNOWN,UNKNOWN,4900,YES_MANUAL,YES_MANUAL,
2025-12-27,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,NO,YES_MANUAL,YES_MANUAL,UNKNOWN,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,6120,82000,5500,YES_MANUAL,YES_MANUAL,
2025-12-26,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,7130,84000,6100,YES_MANUAL,YES_MANUAL,
2025-12-25,YES_MANUAL,UNKNOWN,YES_MANUAL,YES_MANUAL,YES_MANUAL,YES_MANUAL,YES_MANUAL,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,6420,88000,7200,YES_MANUAL,YES_MANUAL,
2025-12-24,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,6440,84000,4900,NO,YES_MANUAL,
2025-12-23,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,UNKNOWN,YES_MANUAL,6060,84000,4100,YES_MANUAL,YES_MANUAL,
2025-12-22,YES_MANUAL,UNKNOWN,YES_MANUAL,UNKNOWN,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,NO,YES_MANUAL,YES_MANUAL,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,4140,81000,7500,YES_MANUAL,YES_MANUAL,
2025-12-21,YES_MANUAL,YES_MANUAL,YES_MANUAL,YES_MANUAL,YES_MANUAL,YES_MANUAL,YES_MANUAL,UNKNOWN,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,6460,74000,5000,YES_MANUAL,YES_MANUAL,
2025-12-20,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,YES_MANUAL,UNKNOWN,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,7550,83000,6900,YES_MANUAL,YES_MANUAL,
2025-12-19,YES_MANUAL,YES_MANUAL,YES_MANUAL,UNKNOWN,YES_MANUAL,YES_MANUAL,YES_MANUAL,UNKNOWN,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,NO,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,
2025-12-18,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,UNKNOWN,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,YES_MANUAL,5470,76000,5800,YES_MANUAL,YES_MANUAL,
2025-12-17,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,YES_MANUAL,YES_MANUAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,6110,83000,5700,YES_MANUAL,YES_MANUAL,
